department,tender_id,name_of_work,location,closing_date
STORES/CENTRAL RLY,90250788,"Low Alloy High Tensile Corrosion Resistance Steel Plate 6mm Thick, Size 6 X 1250 X 5000 mm",Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,24250237,Door lock [ LH for WAG-7/WAP-4 as per CLW Drg. No. 01/1/42/45 Alt. 9. 50% LH AND 50% RH.,Goods & Service,16/08/2025
STORES/CENTRAL RLY,80253515A,Mobilux EP2 Grease (Imported Lubricant ) for TM Bearing of WAP-5 Locos,Goods & Service,16/08/2025
MTN/CENTRAL RLY,85256451A,Centre pivot bearing,Goods & Service,16/08/2025
TRS/GMO/EAST CENTRAL RLY,30245388,Supply of HFBR 2416 MZ RX for repairing [Supply of HFBR 2416 MZ RX for repairing of PCB of BHEL PPLN make locomotive. Ma......,Goods & Service,16/08/2025
GKPD/NORTH EASTERN RLY,10257686,SOFA SET (3+1+1) WITH CENTRE TABLE .,Goods & Service,16/08/2025
WADIBUNDER/DEPOT/CENTRAL RLY,73255535,Set of spare for Automatic plug door,Goods & Service,16/08/2025
WADIBUNDER/DEPOT/CENTRAL RLY,73255533,Male Connector,Goods & Service,16/08/2025
MTN/CENTRAL RLY,85251437A,"FRP Base Moulding to ICF Drg. No. ICF/MRVC/C-4-2-005 Alt-e/nil, Item No. 6, col-IV",Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255848,Set of MS Black forged heavy duty MS pip [Set of MS Black forged heavy duty MS pipe fittings 1000 LBS (IS-1239) for Air ......,Goods & Service,16/08/2025
MTN/CENTRAL RLY,85256328,Set of LED Light Fitting,Goods & Service,16/08/2025
CWORKSHOP-KPA-MECHANICAL/EASTERN RLY,INOCULUMPLANT-R-KPA-C-25,"Construction of 100M³ capacity x 2nos RCC Inoculum Generation Facility Plant at Carriage Complex,Kanchrapara.",Works,16/08/2025
ELOCO-SHOP-CLW-ELECTRICAL/CLW,EL-CON-516,"Electrical works at Main Lab (Admin Building) , NDT Lab ( Shop 17) and Filter House Lab  at CLW Chittranjan.",Works,16/08/2025
NFR-CONST HQ-S AND T/N F RLY CONSTRUCTION,DyCSTE_C_NJP_2025_07_03,"Link Connectivity of SCADA from Station OFC Room to SSP through OFC and Quad/PIJF cables which includes Supply, Installa......",Works,16/08/2025
STORES/SHELL/ICF,01250008,LONG LIFE CONTACT TIP CU CR ZR,Goods & Service,16/08/2025
ELOCO-SHOP-CLW-ELECTRICAL/CLW,EL-CON-512,Power Supply Augmentation by providing Compact Substation for Sports Lighting in Oval & Football Stadium at Chittara......,Works,16/08/2025
CW-SHOP-CWM-MECHANICAL/N F RLY,DBWS-NIET-20-2025-26,"Pressing of Metal Chips generated around Wheel Turning Lathe
machine at WTS/DBWS in the Hydraulic Bailing Press machine ......",Works,16/08/2025
STORES/WEST CENTRAL RLY,61252563,"Stainless Steel box type wall mounted Liquid Soap dispenser of capacity 500 ML. having seamless construction, Equipped w......",Goods & Service,16/08/2025
RANGIYA DIVISION-ELECTRICAL/N F RLY,EL-RNY-TRD-10-2025-26,"1.At Rangiya Division:-TRD works in connection with RNY- MJBT TSR Work ( 36 TKM).
2. At Rangiya Division:-TRD works in c......",Works,16/08/2025
LLH/EASTERN RLY,52251881,U CLAMP FOR 20/25 NB PIPE WITH,Goods & Service,16/08/2025
LLH/EASTERN RLY,52251880,POH Kit,Goods & Service,16/08/2025
LLH/EASTERN RLY,52256523,"Long Head Pressmatic type Tap 1/2""",Goods & Service,16/08/2025
LLH/EASTERN RLY,52255577B,Double Acting Door Closer,Goods & Service,16/08/2025
UDL/DSL/EASTERN RLY,73251118,"SPRING LOCK WASHER 5/16"" ZNIC PLATED DLW [SPRING LOCK WASHER 5/16"" ZNIC PLATED DLW DRG. NO. TPE-13-0022 ALT.-S SLNO -6 M......",Goods & Service,16/08/2025
